,user_id,좋아요,hashtags
0,"hz6.114/"" tabindex=""0"">hz6.114</a></div>]",2,광화문맛집
,user_id,좋아요,hashtags
1,"hz6.114/"" tabindex=""0"">hz6.114</a></div>]",2,종각맛집
,user_id,좋아요,hashtags
3,"hz6.114/"" tabindex=""0"">hz6.114</a></div>]",2,삼겹살맛집
,user_id,좋아요,hashtags
5,"hz6.114/"" tabindex=""0"">hz6.114</a></div>]",2,교대이층집
,user_id,좋아요,hashtags
7,"hz6.114/"" tabindex=""0"">hz6.114</a></div>]",2,광화문이층집
