,user_id,좋아요,hashtags
0,jjunlovee,0,15
,user_id,좋아요,hashtags
1,jjunlovee,0,14
,user_id,좋아요,hashtags
3,jjunlovee,0,13
,user_id,좋아요,hashtags
5,jjunlovee,0,12
,user_id,좋아요,hashtags
7,jjunlovee,0,11
,user_id,좋아요,hashtags
9,jjunlovee,0,10
,user_id,좋아요,hashtags
11,jjunlovee,1,9
,user_id,좋아요,hashtags
13,jjunlovee,0,8
,user_id,좋아요,hashtags
15,jjunlovee,0,7
,user_id,좋아요,hashtags
17,jjunlovee,0,6
,user_id,좋아요,hashtags
19,jjunlovee,0,5
,user_id,좋아요,hashtags
21,jjunlovee,1,4
,user_id,좋아요,hashtags
23,jjunlovee,0,15
,user_id,좋아요,hashtags
25,jjunlovee,0,14
,user_id,좋아요,hashtags
27,jjunlovee,0,13
,user_id,좋아요,hashtags
29,jjunlovee,0,12
,user_id,좋아요,hashtags
31,jjunlovee,0,11
,user_id,좋아요,hashtags
33,jjunlovee,0,10
,user_id,좋아요,hashtags
35,jjunlovee,1,9
,user_id,좋아요,hashtags
37,jjunlovee,0,8
,user_id,좋아요,hashtags
39,jjunlovee,0,7
,user_id,좋아요,hashtags
41,jjunlovee,0,6
,user_id,좋아요,hashtags
43,jjunlovee,0,5
,user_id,좋아요,hashtags
45,jjunlovee,1,4
,user_id,좋아요,hashtags
47,jjunlovee,0,3
,user_id,좋아요,hashtags
49,jjunlovee,0,2
,user_id,좋아요,hashtags
51,jjunlovee,0,1
